ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
8145736	1.99e-17	1.13e-21	18.264315	38.954651	2.280856	NRG1	neuregulin 1
8175871	3.40e-17	3.86e-21	17.67491	37.78022	3.943617	L1CAM	L1 cell adhesion molecule
8056837	1.55e-16	2.64e-20	16.78319	35.937109	3.230752	GPR155	G protein-coupled receptor 155
8129573	3.05e-16	6.93e-20	16.347982	35.007363	2.961258	MOXD1	monooxygenase DBH like 1
7976560	1.20e-15	3.42e-19	-15.64727	33.466962	-1.698974	BDKRB2	bradykinin receptor B2
8171205	1.55e-15	5.29e-19	15.459483	33.044781	2.547347	NLGN4X	neuroligin 4, X-linked
8067985	1.64e-15	6.51e-19	15.370396	32.843084	2.799925	NCAM2	neural cell adhesion molecule 2
8042223	4.38e-15	1.99e-18	14.897527	31.757057	2.077453	EHBP1	EH domain binding protein 1
8056491	5.48e-15	2.81e-18	14.75551	31.425748	2.312326	SCN9A	sodium voltage-gated channel alpha subunit 9
7993167	5.56e-15	3.43e-18	14.672009	31.229827	2.051417	ATF7IP2	activating transcription factor 7 interacting protein 2
8121712	5.56e-15	3.48e-18	14.666612	31.217135	2.398003	SLC35F1	solute carrier family 35 member F1
8036787	5.57e-15	3.80e-18	14.629563	31.129914	3.118712	FCGBP	Fc fragment of IgG binding protein
8023710	7.59e-15	5.65e-18	14.467113	30.745515	3.428676	CDH19	cadherin 19
8077851	7.59e-15	6.05e-18	-14.439151	30.67903	-1.604929	HRH1	histamine receptor H1
7907222	8.27e-15	7.05e-18	-14.3761	30.528759	-2.98922	PRRX1	paired related homeobox 1
7941961	2.10e-14	1.91e-17	13.973793	29.558447	1.441025	ALDH3B1	aldehyde dehydrogenase 3 family member B1
7927186	2.10e-14	2.05e-17	13.944537	29.487104	2.738593	RASSF4	Ras association domain family member 4
7902553	2.10e-14	2.15e-17	13.926138	29.442181	2.593834	IFI44	interferon induced protein 44
7981013	4.04e-14	4.36e-17	13.645631	28.752052	2.222315	PRIMA1	proline rich membrane anchor 1
8056327	4.09e-14	4.78e-17	13.610138	28.664021	2.961558	GRB14	growth factor receptor bound protein 14
8167998	4.09e-14	4.89e-17	-13.601267	28.641995	-1.078783	AR	androgen receptor
7939839	4.90e-14	6.13e-17	13.512201	28.420287	1.548374	PTPRJ	protein tyrosine phosphatase, receptor type J
8036055	5.00e-14	6.54e-17	13.487053	28.357505	2.616235	LGI4	leucine rich repeat LGI family member 4
7951351	5.50e-14	7.50e-17	13.433238	28.222883	2.521844	PDGFD	platelet derived growth factor D
7928534	5.72e-14	8.13e-17	13.401782	28.144024	1.599721	C10orf11	chromosome 10 open reading frame 11
8152133	6.82e-14	1.01e-16	13.318242	27.933972	1.6311	RRM2B	ribonucleotide reductase regulatory TP53 inducible subunit M2B
8128553	7.96e-14	1.22e-16	13.243812	27.746073	1.958203	BVES	blood vessel epicardial substance
8089011	8.26e-14	1.32e-16	13.215336	27.673995	2.2953	PROS1	protein S (alpha)
8022646	8.84e-14	1.46e-16	13.174229	27.569762	1.748869	KCTD1	potassium channel tetramerization domain containing 1
8023995	8.84e-14	1.51e-16	13.162469	27.539904	1.433028	FSTL3	follistatin like 3
8105146	9.29e-14	1.64e-16	13.130755	27.459289	2.099993	NIM1K	NIM1 serine/threonine protein kinase
7929052	1.04e-13	1.88e-16	13.077099	27.322606	2.372409	IFIT3	interferon induced protein with tetratricopeptide repeats 3
8056518	1.06e-13	1.99e-16	13.056217	27.26931	3.608908	SCN7A	sodium voltage-gated channel alpha subunit 7
8077270	1.11e-13	2.15e-16	13.026416	27.193154	3.091065	CHL1	cell adhesion molecule L1 like
7913216	1.14e-13	2.27e-16	-13.006231	27.141504	-2.831788	PLA2G2A	phospholipase A2 group IIA
8083471	1.24e-13	2.54e-16	12.963174	27.031153	2.727763	ARHGEF26	Rho guanine nucleotide exchange factor 26
8138718	1.25e-13	2.63e-16	-12.949362	26.995705	-0.932946	HOXA2	homeobox A2
7956658	1.41e-13	3.04e-16	-12.89372	26.852641	-1.558989	SLC16A7	solute carrier family 16 member 7
8104693	1.47e-13	3.26e-16	12.867126	26.78412	2.548585	PDZD2	PDZ domain containing 2
7965112	1.58e-13	3.58e-16	-12.83164	26.692546	-1.120517	PAWR	pro-apoptotic WT1 regulator
7929047	1.64e-13	3.82e-16	12.807515	26.630196	2.374265	IFIT2	interferon induced protein with tetratricopeptide repeats 2
8161755	1.98e-13	4.84e-16	12.717764	26.397564	2.841503	ALDH1A1	aldehyde dehydrogenase 1 family member A1
7932495	1.98e-13	4.85e-16	12.717343	26.396473	2.747006	CASC10	cancer susceptibility candidate 10
8045563	2.18e-13	5.45e-16	12.672915	26.280921	2.852383	ARHGAP15	Rho GTPase activating protein 15
8158671	3.30e-13	8.43e-16	-12.509501	25.853667	-1.832009	ASS1	argininosuccinate synthase 1
