gene_symbol,Entry
AR,P10275
PDGFB,P01127
FGFR2,P21802
CREB3L1,Q96BA8
ROBO2,Q9HCK4
CSMD3,Q7Z407
LRP1B,Q9NZR2
KIT,P10721
ZFHX3,Q15911
CDKN2A,P42771
CDKN2A,Q8N726
TGFBR2,P37173
PRDM1,O75626
ATM,Q13315
CREB3L2,Q70SY1
NTRK3,Q16288
GNAQ,P50148
NBEA,Q8NFP9
FAT3,Q8TDW7
GATA3,P23771
USP8,P40818
LATS1,O95835
CBFA2T3,O75081
STAG1,Q8WVM7
MTOR,P42345
EPAS1,Q99814
DCC,P43146
ZNF429,Q86V71
LZTR1,Q8N653
POLQ,O75417
PAX8,Q06710
PIK3CA,P42336
ATR,Q13535
DCAF12L2,Q5VW00
ARID1A,O14497
FAT1,Q14517
CYP2C8,P10632
PTPRC,P08575
CHD4,Q14839
ARID2,Q68CP9
NRAS,P01111
CTNNA2,P26232
FLI1,Q01543
PABPC1,P11940
PIK3CB,P42338
KIAA1549,Q9HCM3
ACSL6,Q9UKU0
ASPM,Q8IZT6
NFIB,O00712
