#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACSL6	NTRK3	9606.ENSP00000498260	9606.ENSP00000354207	0	0	0	0	0.122	0.050	0	0.418	0.472
AR	PIK3CA	9606.ENSP00000363822	9606.ENSP00000263967	0	0	0	0	0	0	0	0.571	0.571
AR	ATM	9606.ENSP00000363822	9606.ENSP00000278616	0	0	0	0	0.055	0	0	0.533	0.539
AR	KIT	9606.ENSP00000363822	9606.ENSP00000288135	0	0	0	0	0.044	0.045	0	0.459	0.463
AR	ARID1A	9606.ENSP00000363822	9606.ENSP00000320485	0	0	0	0	0.044	0.241	0	0.524	0.624
AR	MTOR	9606.ENSP00000363822	9606.ENSP00000354558	0	0	0	0	0	0	0	0.548	0.548
AR	GATA3	9606.ENSP00000363822	9606.ENSP00000368632	0	0	0	0	0.075	0.057	0	0.424	0.454
AR	CDKN2A	9606.ENSP00000363822	9606.ENSP00000418915	0	0	0	0	0	0.292	0	0.482	0.617
ARID1A	PAX8	9606.ENSP00000320485	9606.ENSP00000263334	0	0	0	0	0	0	0	0.418	0.418
ARID1A	PIK3CA	9606.ENSP00000320485	9606.ENSP00000263967	0	0	0	0	0.067	0	0	0.911	0.913
ARID1A	ATM	9606.ENSP00000320485	9606.ENSP00000278616	0	0	0	0	0.085	0	0	0.645	0.661
ARID1A	KIT	9606.ENSP00000320485	9606.ENSP00000288135	0	0	0	0	0	0	0	0.418	0.418
ARID1A	CSMD3	9606.ENSP00000320485	9606.ENSP00000297405	0	0	0	0	0	0	0	0.572	0.572
ARID1A	FAT3	9606.ENSP00000320485	9606.ENSP00000432586	0	0	0	0	0	0	0	0.413	0.413
ARID1A	GATA3	9606.ENSP00000320485	9606.ENSP00000368632	0	0	0	0	0.042	0.068	0	0.431	0.448
ARID1A	TGFBR2	9606.ENSP00000320485	9606.ENSP00000351905	0	0	0	0	0.049	0.056	0	0.462	0.475
ARID1A	FAT1	9606.ENSP00000320485	9606.ENSP00000406229	0	0	0	0	0.042	0	0	0.542	0.542
ARID1A	LRP1B	9606.ENSP00000320485	9606.ENSP00000374135	0	0	0	0	0	0	0	0.584	0.584
ARID1A	FGFR2	9606.ENSP00000320485	9606.ENSP00000410294	0	0	0	0	0	0	0	0.592	0.592
ARID1A	NRAS	9606.ENSP00000320485	9606.ENSP00000358548	0	0	0	0	0.049	0.068	0	0.591	0.606
ARID1A	CDKN2A	9606.ENSP00000320485	9606.ENSP00000418915	0	0	0	0	0	0	0	0.720	0.720
ARID1A	CHD4	9606.ENSP00000320485	9606.ENSP00000440542	0	0	0	0	0.335	0.314	0	0.447	0.726
ARID1A	ARID2	9606.ENSP00000320485	9606.ENSP00000335044	0	0	0	0.546	0.168	0.324	0.720	0.989	0.998
ARID2	PIK3CA	9606.ENSP00000335044	9606.ENSP00000263967	0	0	0	0	0.122	0	0	0.522	0.562
ARID2	ATM	9606.ENSP00000335044	9606.ENSP00000278616	0	0	0	0	0.138	0	0	0.436	0.493
ARID2	NRAS	9606.ENSP00000335044	9606.ENSP00000358548	0	0	0	0	0.074	0.070	0	0.521	0.551
ARID2	CDKN2A	9606.ENSP00000335044	9606.ENSP00000418915	0	0	0	0	0	0	0	0.577	0.577
ATM	PIK3CA	9606.ENSP00000278616	9606.ENSP00000263967	0	0	0	0.548	0.109	0	0	0.404	0.446
ATM	MTOR	9606.ENSP00000278616	9606.ENSP00000354558	0	0	0	0.551	0.135	0	0	0.343	0.408
ATM	FAT1	9606.ENSP00000278616	9606.ENSP00000406229	0	0	0	0	0.067	0	0	0.392	0.409
ATM	LRP1B	9606.ENSP00000278616	9606.ENSP00000374135	0	0	0	0	0	0	0	0.419	0.418
ATM	GNAQ	9606.ENSP00000278616	9606.ENSP00000286548	0	0	0	0	0.055	0	0	0.416	0.425
ATM	GATA3	9606.ENSP00000278616	9606.ENSP00000368632	0	0	0	0	0.098	0.065	0	0.389	0.440
ATM	PTPRC	9606.ENSP00000278616	9606.ENSP00000411355	0	0	0	0	0.172	0	0	0.379	0.464
ATM	KIT	9606.ENSP00000278616	9606.ENSP00000288135	0	0	0	0	0.052	0	0	0.541	0.546
