"automated_textmining","coexpression","combined_score","database_annotated","experimentally_determined_interaction","gene_fusion","homology","interaction","name","neighborhood_on_chromosome","node1_string_id","node2_string_id","phylogenetic_cooccurrence","selected","shared interaction","shared name"
"0.418","0.122","0.472","0.0","0.05","0","0.0","interacts with","ACSL6 (interacts with) NTRK3","0","9606.ENSP00000498260","9606.ENSP00000354207","0.0","false","interacts with","ACSL6 (interacts with) NTRK3"
"0.571","0.0","0.571","0.0","0.0","0","0.0","interacts with","AR (interacts with) PIK3CA","0","9606.ENSP00000363822","9606.ENSP00000263967","0.0","false","interacts with","AR (interacts with) PIK3CA"
"0.533","0.055","0.539","0.0","0.0","0","0.0","interacts with","AR (interacts with) ATM","0","9606.ENSP00000363822","9606.ENSP00000278616","0.0","false","interacts with","AR (interacts with) ATM"
"0.459","0.044","0.463","0.0","0.045","0","0.0","interacts with","AR (interacts with) KIT","0","9606.ENSP00000363822","9606.ENSP00000288135","0.0","false","interacts with","AR (interacts with) KIT"
"0.524","0.044","0.624","0.0","0.241","0","0.0","interacts with","AR (interacts with) ARID1A","0","9606.ENSP00000363822","9606.ENSP00000320485","0.0","false","interacts with","AR (interacts with) ARID1A"
"0.548","0.0","0.548","0.0","0.0","0","0.0","interacts with","AR (interacts with) MTOR","0","9606.ENSP00000363822","9606.ENSP00000354558","0.0","false","interacts with","AR (interacts with) MTOR"
"0.424","0.075","0.454","0.0","0.057","0","0.0","interacts with","AR (interacts with) GATA3","0","9606.ENSP00000363822","9606.ENSP00000368632","0.0","false","interacts with","AR (interacts with) GATA3"
"0.482","0.0","0.617","0.0","0.292","0","0.0","interacts with","AR (interacts with) CDKN2A","0","9606.ENSP00000363822","9606.ENSP00000418915","0.0","false","interacts with","AR (interacts with) CDKN2A"
"0.418","0.0","0.418","0.0","0.0","0","0.0","interacts with","ARID1A (interacts with) PAX8","0","9606.ENSP00000320485","9606.ENSP00000263334","0.0","false","interacts with","ARID1A (interacts with) PAX8"
"0.911","0.067","0.913","0.0","0.0","0","0.0","interacts with","ARID1A (interacts with) PIK3CA","0","9606.ENSP00000320485","9606.ENSP00000263967","0.0","false","interacts with","ARID1A (interacts with) PIK3CA"
"0.645","0.085","0.661","0.0","0.0","0","0.0","interacts with","ARID1A (interacts with) ATM","0","9606.ENSP00000320485","9606.ENSP00000278616","0.0","false","interacts with","ARID1A (interacts with) ATM"
"0.418","0.0","0.418","0.0","0.0","0","0.0","interacts with","ARID1A (interacts with) KIT","0","9606.ENSP00000320485","9606.ENSP00000288135","0.0","false","interacts with","ARID1A (interacts with) KIT"
"0.572","0.0","0.572","0.0","0.0","0","0.0","interacts with","ARID1A (interacts with) CSMD3","0","9606.ENSP00000320485","9606.ENSP00000297405","0.0","false","interacts with","ARID1A (interacts with) CSMD3"
"0.413","0.0","0.413","0.0","0.0","0","0.0","interacts with","ARID1A (interacts with) FAT3","0","9606.ENSP00000320485","9606.ENSP00000432586","0.0","false","interacts with","ARID1A (interacts with) FAT3"
"0.431","0.042","0.448","0.0","0.068","0","0.0","interacts with","ARID1A (interacts with) GATA3","0","9606.ENSP00000320485","9606.ENSP00000368632","0.0","false","interacts with","ARID1A (interacts with) GATA3"
"0.462","0.049","0.475","0.0","0.056","0","0.0","interacts with","ARID1A (interacts with) TGFBR2","0","9606.ENSP00000320485","9606.ENSP00000351905","0.0","false","interacts with","ARID1A (interacts with) TGFBR2"
"0.542","0.042","0.542","0.0","0.0","0","0.0","interacts with","ARID1A (interacts with) FAT1","0","9606.ENSP00000320485","9606.ENSP00000406229","0.0","false","interacts with","ARID1A (interacts with) FAT1"
"0.584","0.0","0.584","0.0","0.0","0","0.0","interacts with","ARID1A (interacts with) LRP1B","0","9606.ENSP00000320485","9606.ENSP00000374135","0.0","false","interacts with","ARID1A (interacts with) LRP1B"
"0.592","0.0","0.592","0.0","0.0","0","0.0","interacts with","ARID1A (interacts with) FGFR2","0","9606.ENSP00000320485","9606.ENSP00000410294","0.0","false","interacts with","ARID1A (interacts with) FGFR2"
"0.591","0.049","0.606","0.0","0.068","0","0.0","interacts with","ARID1A (interacts with) NRAS","0","9606.ENSP00000320485","9606.ENSP00000358548","0.0","false","interacts with","ARID1A (interacts with) NRAS"
"0.72","0.0","0.72","0.0","0.0","0","0.0","interacts with","ARID1A (interacts with) CDKN2A","0","9606.ENSP00000320485","9606.ENSP00000418915","0.0","false","interacts with","ARID1A (interacts with) CDKN2A"
"0.447","0.335","0.726","0.0","0.314","0","0.0","interacts with","ARID1A (interacts with) CHD4","0","9606.ENSP00000320485","9606.ENSP00000440542","0.0","false","interacts with","ARID1A (interacts with) CHD4"
"0.989","0.168","0.998","0.72","0.324","0","0.546","interacts with","ARID1A (interacts with) ARID2","0","9606.ENSP00000320485","9606.ENSP00000335044","0.0","false","interacts with","ARID1A (interacts with) ARID2"
"0.522","0.122","0.562","0.0","0.0","0","0.0","interacts with","ARID2 (interacts with) PIK3CA","0","9606.ENSP00000335044","9606.ENSP00000263967","0.0","false","interacts with","ARID2 (interacts with) PIK3CA"
"0.436","0.138","0.493","0.0","0.0","0","0.0","interacts with","ARID2 (interacts with) ATM","0","9606.ENSP00000335044","9606.ENSP00000278616","0.0","false","interacts with","ARID2 (interacts with) ATM"
"0.521","0.074","0.551","0.0","0.07","0","0.0","interacts with","ARID2 (interacts with) NRAS","0","9606.ENSP00000335044","9606.ENSP00000358548","0.0","false","interacts with","ARID2 (interacts with) NRAS"
"0.577","0.0","0.577","0.0","0.0","0","0.0","interacts with","ARID2 (interacts with) CDKN2A","0","9606.ENSP00000335044","9606.ENSP00000418915","0.0","false","interacts with","ARID2 (interacts with) CDKN2A"
"0.404","0.109","0.446","0.0","0.0","0","0.548","interacts with","ATM (interacts with) PIK3CA","0","9606.ENSP00000278616","9606.ENSP00000263967","0.0","false","interacts with","ATM (interacts with) PIK3CA"
"0.343","0.135","0.408","0.0","0.0","0","0.551","interacts with","ATM (interacts with) MTOR","0","9606.ENSP00000278616","9606.ENSP00000354558","0.0","false","interacts with","ATM (interacts with) MTOR"
"0.392","0.067","0.409","0.0","0.0","0","0.0","interacts with","ATM (interacts with) FAT1","0","9606.ENSP00000278616","9606.ENSP00000406229","0.0","false","interacts with","ATM (interacts with) FAT1"
"0.419","0.0","0.418","0.0","0.0","0","0.0","interacts with","ATM (interacts with) LRP1B","0","9606.ENSP00000278616","9606.ENSP00000374135","0.0","false","interacts with","ATM (interacts with) LRP1B"
"0.416","0.055","0.425","0.0","0.0","0","0.0","interacts with","ATM (interacts with) GNAQ","0","9606.ENSP00000278616","9606.ENSP00000286548","0.0","false","interacts with","ATM (interacts with) GNAQ"
"0.389","0.098","0.44","0.0","0.065","0","0.0","interacts with","ATM (interacts with) GATA3","0","9606.ENSP00000278616","9606.ENSP00000368632","0.0","false","interacts with","ATM (interacts with) GATA3"
"0.379","0.172","0.464","0.0","0.0","0","0.0","interacts with","ATM (interacts with) PTPRC","0","9606.ENSP00000278616","9606.ENSP00000411355","0.0","false","interacts with","ATM (interacts with) PTPRC"
"0.541","0.052","0.546","0.0","0.0","0","0.0","interacts with","ATM (interacts with) KIT","0","9606.ENSP00000278616","9606.ENSP00000288135","0.0","false","interacts with","ATM (interacts with) KIT"
"0.579","0.042","0.579","0.0","0.0","0","0.0","interacts with","ATM (interacts with) ZFHX3","0","9606.ENSP00000278616","9606.ENSP00000493252","0.0","false","interacts with","ATM (interacts with) ZFHX3"
"0.452","0.054","0.606","0.0","0.3","0","0.0","interacts with","ATM (interacts with) CHD4","0","9606.ENSP00000278616","9606.ENSP00000440542","0.0","false","interacts with","ATM (interacts with) CHD4"
"0.595","0.074","0.631","0.0","0.095","0","0.0","interacts with","ATM (interacts with) TGFBR2","0","9606.ENSP00000278616","9606.ENSP00000351905","0.0","false","interacts with","ATM (interacts with) TGFBR2"
"0.611","0.061","0.632","0.0","0.071","0","0.0","interacts with","ATM (interacts with) NRAS","0","9606.ENSP00000278616","9606.ENSP00000358548","0.0","false","interacts with","ATM (interacts with) NRAS"
"0.702","0.052","0.705","0.0","0.0","0","0.0","interacts with","ATM (interacts with) FGFR2","0","9606.ENSP00000278616","9606.ENSP00000410294","0.0","false","interacts with","ATM (interacts with) FGFR2"
"0.845","0.042","0.847","0.0","0.053","0","0.0","interacts with","ATM (interacts with) CDKN2A","0","9606.ENSP00000278616","9606.ENSP00000418915","0.0","false","interacts with","ATM (interacts with) CDKN2A"
"0.745","0.213","0.999","0.9","0.974","0","0.564","interacts with","ATM (interacts with) ATR","0","9606.ENSP00000278616","9606.ENSP00000343741","0.0","false","interacts with","ATM (interacts with) ATR"
"0.342","0.143","0.436","0.0","0.079","0","0.554","interacts with","ATR (interacts with) MTOR","0","9606.ENSP00000343741","9606.ENSP00000354558","0.0","false","interacts with","ATR (interacts with) MTOR"
"0.373","0.0","0.537","0.0","0.292","0","0.0","interacts with","ATR (interacts with) CDKN2A","0","9606.ENSP00000343741","9606.ENSP00000418915","0.0","false","interacts with","ATR (interacts with) CDKN2A"
"0.282","0.123","0.658","0.5","0.0","0","0.0","interacts with","ATR (interacts with) STAG1","0","9606.ENSP00000343741","9606.ENSP00000372689","0.0","false","interacts with","ATR (interacts with) STAG1"
"0.545","0.074","0.695","0.0","0.335","0","0.0","interacts with","ATR (interacts with) CHD4","0","9606.ENSP00000343741","9606.ENSP00000440542","0.0","false","interacts with","ATR (interacts with) CHD4"
"0.505","0.0","0.507","0.0","0.045","0","0.0","interacts with","CDKN2A (interacts with) PAX8","0","9606.ENSP00000418915","9606.ENSP00000263334","0.0","false","interacts with","CDKN2A (interacts with) PAX8"
"0.533","0.0","0.533","0.0","0.0","0","0.0","interacts with","CDKN2A (interacts with) EPAS1","0","9606.ENSP00000418915","9606.ENSP00000263734","0.0","false","interacts with","CDKN2A (interacts with) EPAS1"
"0.791","0.0","0.791","0.0","0.0","0","0.0","interacts with","CDKN2A (interacts with) PIK3CA","0","9606.ENSP00000418915","9606.ENSP00000263967","0.0","false","interacts with","CDKN2A (interacts with) PIK3CA"
"0.507","0.042","0.507","0.0","0.0","0","0.0","interacts with","CDKN2A (interacts with) GNAQ","0","9606.ENSP00000418915","9606.ENSP00000286548","0.0","false","interacts with","CDKN2A (interacts with) GNAQ"
"0.669","0.0","0.669","0.0","0.0","0","0.0","interacts with","CDKN2A (interacts with) KIT","0","9606.ENSP00000418915","9606.ENSP00000288135","0.0","false","interacts with","CDKN2A (interacts with) KIT"
"0.38","0.085","0.408","0.0","0.0","0","0.0","interacts with","CDKN2A (interacts with) PDGFB","0","9606.ENSP00000418915","9606.ENSP00000330382","0.0","false","interacts with","CDKN2A (interacts with) PDGFB"
"0.507","0.0","0.534","0.0","0.095","0","0.0","interacts with","CDKN2A (interacts with) TGFBR2","0","9606.ENSP00000418915","9606.ENSP00000351905","0.0","false","interacts with","CDKN2A (interacts with) TGFBR2"
"0.375","0.0","0.41","0.0","0.095","0","0.0","interacts with","CDKN2A (interacts with) NTRK3","0","9606.ENSP00000418915","9606.ENSP00000354207","0.0","false","interacts with","CDKN2A (interacts with) NTRK3"
"0.586","0.042","0.615","0.0","0.107","0","0.0","interacts with","CDKN2A (interacts with) MTOR","0","9606.ENSP00000418915","9606.ENSP00000354558","0.0","false","interacts with","CDKN2A (interacts with) MTOR"
"0.837","0.055","0.984","0.9","0.102","0","0.0","interacts with","CDKN2A (interacts with) NRAS","0","9606.ENSP00000418915","9606.ENSP00000358548","0.0","false","interacts with","CDKN2A (interacts with) NRAS"
"0.643","0.0","0.646","0.0","0.049","0","0.0","interacts with","CDKN2A (interacts with) GATA3","0","9606.ENSP00000418915","9606.ENSP00000368632","0.0","false","interacts with","CDKN2A (interacts with) GATA3"
"0.505","0.0","0.505","0.0","0.0","0","0.0","interacts with","CDKN2A (interacts with) LRP1B","0","9606.ENSP00000418915","9606.ENSP00000374135","0.0","false","interacts with","CDKN2A (interacts with) LRP1B"
"0.597","0.042","0.597","0.0","0.0","0","0.0","interacts with","CDKN2A (interacts with) FAT1","0","9606.ENSP00000418915","9606.ENSP00000406229","0.0","false","interacts with","CDKN2A (interacts with) FAT1"
