gene_symbol,variant_name,pdb,uniprot_swissprot_id,refseq_id,exon_count,logFC
NF2,NULL,1H4R;3U8Z;4ZRI;4ZRJ;6CDS;7LWH;,P35240,NM_001407065.1,18,-0.052652
NF2,NULL,1H4R;3U8Z;4ZRI;4ZRJ;6CDS;7LWH;,P35240,NM_001407056.1,18,-0.052652
NF2,NULL,1H4R;3U8Z;4ZRI;4ZRJ;6CDS;7LWH;,P35240,NM_016418.5,17,-0.052652
NF2,NULL,1H4R;3U8Z;4ZRI;4ZRJ;6CDS;7LWH;,P35240,NM_001407066.1,17,-0.052652
NF2,NULL,1H4R;3U8Z;4ZRI;4ZRJ;6CDS;7LWH;,P35240,NM_181832.3,17,-0.052652
NF2,NULL,1H4R;3U8Z;4ZRI;4ZRJ;6CDS;7LWH;,P35240,NM_001407067.1,17,-0.052652
NF2,NULL,1H4R;3U8Z;4ZRI;4ZRJ;6CDS;7LWH;,P35240,NM_001407053.1,17,-0.052652
NF2,NULL,1H4R;3U8Z;4ZRI;4ZRJ;6CDS;7LWH;,P35240,XM_047441386.1,17,-0.052652
NF2,NULL,1H4R;3U8Z;4ZRI;4ZRJ;6CDS;7LWH;,P35240,NM_181825.3,16,-0.052652
NF2,NULL,1H4R;3U8Z;4ZRI;4ZRJ;6CDS;7LWH;,P35240,NM_181828.3,16,-0.052652
NF2,NULL,1H4R;3U8Z;4ZRI;4ZRJ;6CDS;7LWH;,P35240,NM_181829.3,16,-0.052652
NF2,NULL,1H4R;3U8Z;4ZRI;4ZRJ;6CDS;7LWH;,P35240,NM_001407058.1,16,-0.052652
NF2,NULL,1H4R;3U8Z;4ZRI;4ZRJ;6CDS;7LWH;,P35240,NM_001407059.1,16,-0.052652
NF2,NULL,1H4R;3U8Z;4ZRI;4ZRJ;6CDS;7LWH;,P35240,NM_000268.4,16,-0.052652
NF2,NULL,1H4R;3U8Z;4ZRI;4ZRJ;6CDS;7LWH;,P35240,XM_017028809.3,16,-0.052652
NF2,NULL,1H4R;3U8Z;4ZRI;4ZRJ;6CDS;7LWH;,P35240,NM_181831.3,15,-0.052652
NF2,NULL,1H4R;3U8Z;4ZRI;4ZRJ;6CDS;7LWH;,P35240,NM_181830.3,15,-0.052652
NF2,NULL,1H4R;3U8Z;4ZRI;4ZRJ;6CDS;7LWH;,P35240,NM_001407063.1,15,-0.052652
NF2,NULL,1H4R;3U8Z;4ZRI;4ZRJ;6CDS;7LWH;,P35240,NM_001407055.1,15,-0.052652
NF2,NULL,1H4R;3U8Z;4ZRI;4ZRJ;6CDS;7LWH;,P35240,NM_001407054.1,15,-0.052652
NF2,NULL,1H4R;3U8Z;4ZRI;4ZRJ;6CDS;7LWH;,P35240,NM_001407057.1,15,-0.052652
NF2,NULL,1H4R;3U8Z;4ZRI;4ZRJ;6CDS;7LWH;,P35240,NM_001407060.1,15,-0.052652
NF2,NULL,1H4R;3U8Z;4ZRI;4ZRJ;6CDS;7LWH;,P35240,NM_001407062.1,14,-0.052652
NF2,NULL,1H4R;3U8Z;4ZRI;4ZRJ;6CDS;7LWH;,P35240,NM_001407064.1,13,-0.052652
NF2,NULL,1H4R;3U8Z;4ZRI;4ZRJ;6CDS;7LWH;,P35240,NR_176267.1,8,-0.052652
NF2,NULL,1H4R;3U8Z;4ZRI;4ZRJ;6CDS;7LWH;,P35240,NM_181833.3,5,-0.052652
