gene_symbol,Entry,Length,logFC,regulation
POLQ,O75417,2590,-0.55645,Down
PIK3CB,P42338,1070,0.489253,Up
PRDM1,O75626,825,1.188297,Up
CTNNA2,P26232,953,-0.500885,Down
ASPM,Q8IZT6,3477,-0.686502,Down
FGFR2,P21802,821,-1.691824,Down
PABPC1,P11940,636,0.291774,Up
PTPRC,P08575,1306,0.877446,Up
FAT1,Q14517,4588,0.653227,Up
LZTR1,Q8N653,840,0.645798,Up
PDGFB,P01127,241,1.47935,Up
GATA3,P23771,443,-0.502371,Down
CHD4,Q14839,1912,0.432786,Up
EPAS1,Q99814,870,0.710013,Up
ARID1A,O14497,2285,0.424134,Up
STAG1,Q8WVM7,1258,0.728661,Up
PIK3CA,P42336,1068,0.69154,Up
KIAA1549,Q9HCM3,1950,-0.22888,Down
PAX8,Q06710,450,-0.468158,Down
CBFA2T3,O75081,653,-0.387451,Down
LATS1,O95835,1130,0.578063,Up
CYP2C8,P10632,490,-0.439821,Down
USP8,P40818,1118,0.891278,Up
NTRK3,Q16288,839,-1.037991,Down
ZFHX3,Q15911,3703,0.733982,Up
NFIB,O00712,420,0.425307,Up
CDKN2A,P42771,156,1.032292,Up
CDKN2A,Q8N726,132,1.032292,Up
ATM,Q13315,3056,0.932191,Up
FLI1,Q01543,452,0.533084,Up
GNAQ,P50148,359,0.790597,Up
KIT,P10721,976,-0.928573,Down
CREB3L1,Q96BA8,519,-1.282812,Down
TGFBR2,P37173,567,0.801954,Up
ACSL6,Q9UKU0,697,-0.363645,Down
CSMD3,Q7Z407,3707,-0.553546,Down
FAT3,Q8TDW7,4557,-0.79581,Down
LRP1B,Q9NZR2,4599,-0.975397,Down
AR,P10275,920,-1.078783,Down
NBEA,Q8NFP9,2946,0.912615,Up
ATR,Q13535,2644,0.506637,Up
CREB3L2,Q70SY1,520,0.794316,Up
ROBO2,Q9HCK4,1378,-0.883501,Down
DCC,P43146,1447,-0.598345,Down
ARID2,Q68CP9,1835,0.499319,Up
ZNF429,Q86V71,674,0.64247,Up
DCAF12L2,Q5VW00,463,-0.344401,Down
MTOR,P42345,2549,0.61701,Up
NRAS,P01111,189,0.433639,Up
