hgnc_symbol,Entry,entry_name,protein_length,pdb,domain_count,cath_labels
NOTCH2,Q04721,NOTC2_HUMAN,2471,2OO4;5MWB;,10,"-; 2.10.25; 2.10.25.10; 3.30.70.3310"
KDR,P35968,VGFR2_HUMAN,1356,1VR2;1Y6A;1Y6B;1YWN;2M59;2MET;2MEU;2OH4;2P2H;2P2I;2QU5;2QU6;2RL5;2X1W;2X1X;2XIR;3B8Q;3B8R;3BE2;3C7Q;3CJF;3CJG;3CP9;3CPB;3CPC;3DTW;3EFL;3EWH;3KVQ;3S35;3S36;3S37;3U6J;3V2A;3V6B;3VHE;3VHK;3VID;3VNT;3VO3;3WZD;3WZE;4AG8;4AGC;4AGD;4ASD;4ASE;5EW3;5OYJ;6GQO;6GQP;6GQQ;6XVJ;6XVK;,9,"1.10.510.10; 2.60.40.10; 3.30.200.20"
DCC,P43146,DCC_HUMAN,1447,2ED7;2ED8;2ED9;2EDB;2EDD;2EDE;3AU4;4URT;5X83;,8,2.60.40.10
ROBO2,Q9HCK4,ROBO2_HUMAN,1378,1UEM;1UJT;2EDJ;5NOI;6I9S;6IAA;,8,2.60.40.10
POLQ,O75417,DPOLQ_HUMAN,2590,4X0P;4X0Q;5A9F;5A9J;5AGA;6XBU;7ZUS;7ZX0;7ZX1;8E23;8E24;8GD7;8W0A;9ASJ;9ASK;9ASL;9AU8;9AU9;9BH6;9BH7;9BH8;9BH9;9BHA;9BP9;9BPA;9C5Q;,7,"-; 1.10.10.10; 1.10.3380.30; 1.20.1060.10; 3.30.420.10; 3.40.50.300"
MTOR,P42345,MTOR_HUMAN,2549,1AUE;1FAP;1NSG;2FAP;2GAQ;2NPU;2RSE;3FAP;3JBZ;4DRH;4DRI;4DRJ;4FAP;4JSN;4JSP;4JSV;4JSX;4JT5;4JT6;5FLC;5GPG;5H64;5WBH;5WBU;5WBY;5ZCS;6BCU;6BCX;6M4U;6M4W;6SB0;6SB2;6ZWM;6ZWO;7EPD;7OWG;7PE7;7PE8;7PE9;7PEA;7PEB;7PEC;7TZO;7UXC;7UXH;8ER6;8ER7;8ERA;8PPZ;8RCH;8RCK;8RCN;9F44;9F45;,7,"-; 1.10.1070.11; 1.20.120.150; 1.20.58; 1.25.10.10; 1.25.40.10"
ALK,Q9UM73,ALK_HUMAN,1620,2KUP;2KUQ;2XB7;2XBA;2XP2;2YFX;2YHV;2YJR;2YJS;2YS5;2YT2;3AOX;3L9P;3LCS;3LCT;4ANL;4ANQ;4ANS;4CCB;4CCU;4CD0;4CLI;4CLJ;4CMO;4CMT;4CMU;4CNH;4CTB;4CTC;4DCE;4FNW;4FNX;4FNY;4FNZ;4FOB;4FOC;4FOD;4JOA;4MKC;4TT7;4Z55;5A9U;5AA8;5AA9;5AAA;5AAB;5AAC;5FTO;5FTQ;5IMX;5IUG;5IUH;5IUI;5KZ0;5VZ5;6AT9;6CDT;6E0R;6EBW;6EDL;6MX8;7BTT;7JY4;7JYR;7JYS;7JYT;7LRZ;7LS0;7MZW;7MZY;7N00;7NWZ;7NX3;7NX4;7R7K;7R7R;8ARJ;9G5I;9GBE;,7,"-; 1.10.510.10; 2.10.25,2.10.25; 2.60.120.200; 3.30.200.20"
CHD4,Q14839,CHD4_HUMAN,1912,1MM2;1MM3;2EE1;2L5U;2L75;2N5N;4O9I;6BGG;6Q3M;6RYR;6RYU;8D4Y;,6,"-; 1.10.390; 3.30.40.10; 3.40.50.10810; 3.40.50.300"
PTPRC,P08575,PTPRC_HUMAN,1306,1YGR;1YGU;5FMV;5FN6;5FN7;8VSE;,6,"-; 2.60.40.10; 3.90.190.10"
CTNNA2,P26232,CTNA2_HUMAN,953,6DUW;,6,1.20.120.230
