hgnc_symbol,gene_stable_id,Entry,pdb,refseq_id,exonCount
ATM,ENSG00000149311,Q13315,5NP0;5NP1;6HKA;6K9K;6K9L;7NI4;7NI5;7NI6;7SIC;7SID;8OXM;8OXO;8OXP;8OXQ;,XM_047426975.1,64
ATM,ENSG00000149311,Q13315,5NP0;5NP1;6HKA;6K9K;6K9L;7NI4;7NI5;7NI6;7SIC;7SID;8OXM;8OXO;8OXP;8OXQ;,XM_047426976.1,64
ATM,ENSG00000149311,Q13315,5NP0;5NP1;6HKA;6K9K;6K9L;7NI4;7NI5;7NI6;7SIC;7SID;8OXM;8OXO;8OXP;8OXQ;,XM_011542840.4,64
ATM,ENSG00000149311,Q13315,5NP0;5NP1;6HKA;6K9K;6K9L;7NI4;7NI5;7NI6;7SIC;7SID;8OXM;8OXO;8OXP;8OXQ;,NM_001351834.2,64
ATM,ENSG00000149311,Q13315,5NP0;5NP1;6HKA;6K9K;6K9L;7NI4;7NI5;7NI6;7SIC;7SID;8OXM;8OXO;8OXP;8OXQ;,NM_000051.4,63
ATM,ENSG00000149311,Q13315,5NP0;5NP1;6HKA;6K9K;6K9L;7NI4;7NI5;7NI6;7SIC;7SID;8OXM;8OXO;8OXP;8OXQ;,XM_047426977.1,63
ATM,ENSG00000149311,Q13315,5NP0;5NP1;6HKA;6K9K;6K9L;7NI4;7NI5;7NI6;7SIC;7SID;8OXM;8OXO;8OXP;8OXQ;,XM_047426978.1,63
ATM,ENSG00000149311,Q13315,5NP0;5NP1;6HKA;6K9K;6K9L;7NI4;7NI5;7NI6;7SIC;7SID;8OXM;8OXO;8OXP;8OXQ;,XM_006718843.5,63
ATM,ENSG00000149311,Q13315,5NP0;5NP1;6HKA;6K9K;6K9L;7NI4;7NI5;7NI6;7SIC;7SID;8OXM;8OXO;8OXP;8OXQ;,XM_005271562.6,63
ATM,ENSG00000149311,Q13315,5NP0;5NP1;6HKA;6K9K;6K9L;7NI4;7NI5;7NI6;7SIC;7SID;8OXM;8OXO;8OXP;8OXQ;,XM_017017790.3,63
ATM,ENSG00000149311,Q13315,5NP0;5NP1;6HKA;6K9K;6K9L;7NI4;7NI5;7NI6;7SIC;7SID;8OXM;8OXO;8OXP;8OXQ;,XM_047426979.1,62
ATM,ENSG00000149311,Q13315,5NP0;5NP1;6HKA;6K9K;6K9L;7NI4;7NI5;7NI6;7SIC;7SID;8OXM;8OXO;8OXP;8OXQ;,XM_011542842.4,62
ATM,ENSG00000149311,Q13315,5NP0;5NP1;6HKA;6K9K;6K9L;7NI4;7NI5;7NI6;7SIC;7SID;8OXM;8OXO;8OXP;8OXQ;,XM_011542843.3,60
NBEA,ENSG00000172915,Q8NFP9,1MI1;,XM_047430271.1,60
ATM,ENSG00000149311,Q13315,5NP0;5NP1;6HKA;6K9K;6K9L;7NI4;7NI5;7NI6;7SIC;7SID;8OXM;8OXO;8OXP;8OXQ;,XM_011542844.4,59
NBEA,ENSG00000172915,Q8NFP9,1MI1;,XM_017020544.2,59
NBEA,ENSG00000172915,Q8NFP9,1MI1;,XM_006719803.4,59
NBEA,ENSG00000172915,Q8NFP9,1MI1;,NM_001385012.1,59
MTOR,ENSG00000198793,P42345,1AUE;1FAP;1NSG;2FAP;2GAQ;2NPU;2RSE;3FAP;3JBZ;4DRH;4DRI;4DRJ;4FAP;4JSN;4JSP;4JSV;4JSX;4JT5;4JT6;5FLC;5GPG;5H64;5WBH;5WBU;5WBY;5ZCS;6BCU;6BCX;6M4U;6M4W;6SB0;6SB2;6ZWM;6ZWO;7EPD;7OWG;7PE7;7PE8;7PE9;7PEA;7PEB;7PEC;7TZO;7UXC;7UXH;8ER6;8ER7;8ERA;8PPZ;8RCH;8RCK;8RCN;9F44;9F45;,NM_004958.4,58
