Alphafold,ted_id,uniprot_acc,md5_domain,consensus_level,chopping,nres_domain,num_segments,plddt,num_helix_strand_turn,num_helix,num_strand,num_helix_strand,num_turn,proteome_id,cath_label,cath_assignment_level,cath_assignment_method,packing_density,norm_rg,tax_common_name,tax_scientific_name,tax_lineage,interactions
O75417,AF-O75417-F1-model_v4_TED01,O75417,9506bde985a5729efefebce8c50fce1e,medium,64-247_256-290,219,2,84.808,30,13,7,20,9,9606,3.40.50.300,H,foldseek,12.313,0.281,Human,Homo_sapiens,"cellular_organisms,Eukaryota,Opisthokonta,Metazoa,Eumetazoa,Bilateria,Deuterostomia,Chordata,Craniata,Vertebrata,Gnathostomata,Teleostomi,Euteleostomi,Sarcopterygii,Dipnotetrapodomorpha,Tetrapoda,Amniota,Mammalia,Theria,Eutheria,Boreoeutheria,Euarchontoglires,Primates,Haplorrhini,Simiiformes,Catarrhini,Hominoidea,Hominidae,Homininae,Homo","[{'af_id': 'AF-O75417-F1-model_v4', 'ted_id1': 'AF-O75417-F1-model_v4_TED04', 'ted_id2': 'AF-O75417-F1-model_v4_TED01', 'pae_score': 9.0, 'id': 55137903}, {'af_id': 'AF-O75417-F1-model_v4', 'ted_id1': 'AF-O75417-F1-model_v4_TED01', 'ted_id2': 'AF-O75417-F1-model_v4_TED02', 'pae_score': 8.0, 'id': 13252580}, {'af_id': 'AF-O75417-F1-model_v4', 'ted_id1': 'AF-O75417-F1-model_v4_TED03', 'ted_id2': 'AF-O75417-F1-model_v4_TED01', 'pae_score': 8.0, 'id': 34567670}]"
O75417,AF-O75417-F1-model_v4_TED02,O75417,44eb4365a45e9fa5a1064bbc1beb7997,high,293-367_381-510,205,2,86.1517,37,10,10,20,16,9606,3.40.50.300,H,foldseek,12.049,0.277,Human,Homo_sapiens,"cellular_organisms,Eukaryota,Opisthokonta,Metazoa,Eumetazoa,Bilateria,Deuterostomia,Chordata,Craniata,Vertebrata,Gnathostomata,Teleostomi,Euteleostomi,Sarcopterygii,Dipnotetrapodomorpha,Tetrapoda,Amniota,Mammalia,Theria,Eutheria,Boreoeutheria,Euarchontoglires,Primates,Haplorrhini,Simiiformes,Catarrhini,Hominoidea,Hominidae,Homininae,Homo","[{'af_id': 'AF-O75417-F1-model_v4', 'ted_id1': 'AF-O75417-F1-model_v4_TED04', 'ted_id2': 'AF-O75417-F1-model_v4_TED02', 'pae_score': 9.0, 'id': 55137904}, {'af_id': 'AF-O75417-F1-model_v4', 'ted_id1': 'AF-O75417-F1-model_v4_TED01', 'ted_id2': 'AF-O75417-F1-model_v4_TED02', 'pae_score': 8.0, 'id': 13252580}]"
O75417,AF-O75417-F1-model_v4_TED03,O75417,167412709a1745b8e4315d8e4f558d3c,medium,520-565_579-623,91,2,79.1803,11,4,2,6,5,9606,1.10.10.10,H,foldseek,10.733,0.294,Human,Homo_sapiens,"cellular_organisms,Eukaryota,Opisthokonta,Metazoa,Eumetazoa,Bilateria,Deuterostomia,Chordata,Craniata,Vertebrata,Gnathostomata,Teleostomi,Euteleostomi,Sarcopterygii,Dipnotetrapodomorpha,Tetrapoda,Amniota,Mammalia,Theria,Eutheria,Boreoeutheria,Euarchontoglires,Primates,Haplorrhini,Simiiformes,Catarrhini,Hominoidea,Hominidae,Homininae,Homo","[{'af_id': 'AF-O75417-F1-model_v4', 'ted_id1': 'AF-O75417-F1-model_v4_TED03', 'ted_id2': 'AF-O75417-F1-model_v4_TED04', 'pae_score': 8.0, 'id': 55140604}, {'af_id': 'AF-O75417-F1-model_v4', 'ted_id1': 'AF-O75417-F1-model_v4_TED03', 'ted_id2': 'AF-O75417-F1-model_v4_TED01', 'pae_score': 8.0, 'id': 34567670}]"
O75417,AF-O75417-F1-model_v4_TED04,O75417,e7463ce1364d7b482b51053c17c4d760,medium,628-789,162,1,86.1575,13,9,0,9,1,9606,1.10.3380.30,H,foldseek,11.988,0.304,Human,Homo_sapiens,"cellular_organisms,Eukaryota,Opisthokonta,Metazoa,Eumetazoa,Bilateria,Deuterostomia,Chordata,Craniata,Vertebrata,Gnathostomata,Teleostomi,Euteleostomi,Sarcopterygii,Dipnotetrapodomorpha,Tetrapoda,Amniota,Mammalia,Theria,Eutheria,Boreoeutheria,Euarchontoglires,Primates,Haplorrhini,Simiiformes,Catarrhini,Hominoidea,Hominidae,Homininae,Homo","[{'af_id': 'AF-O75417-F1-model_v4', 'ted_id1': 'AF-O75417-F1-model_v4_TED04', 'ted_id2': 'AF-O75417-F1-model_v4_TED01', 'pae_score': 9.0, 'id': 55137903}, {'af_id': 'AF-O75417-F1-model_v4', 'ted_id1': 'AF-O75417-F1-model_v4_TED04', 'ted_id2': 'AF-O75417-F1-model_v4_TED02', 'pae_score': 9.0, 'id': 55137904}, {'af_id': 'AF-O75417-F1-model_v4', 'ted_id1': 'AF-O75417-F1-model_v4_TED03', 'ted_id2': 'AF-O75417-F1-model_v4_TED04', 'pae_score': 8.0, 'id': 55140604}, {'af_id': 'AF-O75417-F1-model_v4', 'ted_id1': 'AF-O75417-F1-model_v4_TED04', 'ted_id2': 'AF-O75417-F1-model_v4_TED07', 'pae_score': 26.0, 'id': 65323705}]"
O75417,AF-O75417-F1-model_v4_TED05,O75417,3b371e8379a74e390a192ba0d714e38c,medium,792-896,105,1,78.8562,13,6,0,6,6,9606,-,-,-,10.982,0.292,Human,Homo_sapiens,"cellular_organisms,Eukaryota,Opisthokonta,Metazoa,Eumetazoa,Bilateria,Deuterostomia,Chordata,Craniata,Vertebrata,Gnathostomata,Teleostomi,Euteleostomi,Sarcopterygii,Dipnotetrapodomorpha,Tetrapoda,Amniota,Mammalia,Theria,Eutheria,Boreoeutheria,Euarchontoglires,Primates,Haplorrhini,Simiiformes,Catarrhini,Hominoidea,Hominidae,Homininae,Homo",[]
O75417,AF-O75417-F1-model_v4_TED06,O75417,39d678f275d252f7c61445636d0a15f4,medium,1826-1860_1888-1922_1933-2068,206,3,80.6595,30,8,7,15,15,9606,3.30.420.10,H,foldseek,12.67,0.288,Human,Homo_sapiens,"cellular_organisms,Eukaryota,Opisthokonta,Metazoa,Eumetazoa,Bilateria,Deuterostomia,Chordata,Craniata,Vertebrata,Gnathostomata,Teleostomi,Euteleostomi,Sarcopterygii,Dipnotetrapodomorpha,Tetrapoda,Amniota,Mammalia,Theria,Eutheria,Boreoeutheria,Euarchontoglires,Primates,Haplorrhini,Simiiformes,Catarrhini,Hominoidea,Hominidae,Homininae,Homo",[]
O75417,AF-O75417-F1-model_v4_TED07,O75417,bcb69ea3958af87cd4bd106189297b91,medium,2093-2145_2179-2222,97,2,81.9104,6,5,0,5,1,9606,1.20.1060.10,H,foldseek,11.292,0.353,Human,Homo_sapiens,"cellular_organisms,Eukaryota,Opisthokonta,Metazoa,Eumetazoa,Bilateria,Deuterostomia,Chordata,Craniata,Vertebrata,Gnathostomata,Teleostomi,Euteleostomi,Sarcopterygii,Dipnotetrapodomorpha,Tetrapoda,Amniota,Mammalia,Theria,Eutheria,Boreoeutheria,Euarchontoglires,Primates,Haplorrhini,Simiiformes,Catarrhini,Hominoidea,Hominidae,Homininae,Homo","[{'af_id': 'AF-O75417-F1-model_v4', 'ted_id1': 'AF-O75417-F1-model_v4_TED04', 'ted_id2': 'AF-O75417-F1-model_v4_TED07', 'pae_score': 26.0, 'id': 65323705}]"
P42338,AF-P42338-F1-model_v4_TED01,P42338,5ad61fa03294e8af7e1e74ce2ba3f05a,medium,1-116,116,1,77.2097,23,5,5,10,10,9606,3.10.20.770,H,foldseek,10.873,0.328,Human,Homo sapiens,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Primates, Haplorrhini, Simiiformes, Catarrhini, Hominoidea, Hominidae, Homininae, Homo",[]
P42338,AF-P42338-F1-model_v4_TED02,P42338,aa36e30e9669d18b4d436c3046782097,high,177-294,118,1,86.1796,18,6,5,11,7,9606,3.10.20.90,H,foldseek,11.714,0.283,Human,Homo sapiens,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Primates, Haplorrhini, Simiiformes, Catarrhini, Hominoidea, Hominidae, Homininae, Homo",[]
P42338,AF-P42338-F1-model_v4_TED03,P42338,788ae457574eb1bf2e7971a744e030f2,high,333-410_428-503,154,2,88.4462,30,1,10,11,17,9606,2.60.40.150,H,foldseek,12.211,0.272,Human,Homo sapiens,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Primates, Haplorrhini, Simiiformes, Catarrhini, Hominoidea, Hominidae, Homininae, Homo",[]
