Gene stable ID,HGNC symbol,Gene name,Chromosome/scaffold name,Gene start (bp),Gene end (bp)
ENSG00000172915,NBEA,NBEA,13,34942270,35673022
ENSG00000187323,DCC,DCC,18,52340197,53535899
ENSG00000198354,DCAF12L2,DCAF12L2,X,126163499,126166289
ENSG00000085185,BCORL1,BCORL1,X,129981107,130058071
ENSG00000164796,CSMD3,CSMD3,8,112222928,113436939
ENSG00000147889,CDKN2A,CDKN2A,9,21967752,21995301
ENSG00000099949,LZTR1,LZTR1,22,20982223,20999035
ENSG00000171310,CHST11,CHST11,12,104455295,104762014
ENSG00000169083,AR,AR,X,67543353,67730619
ENSG00000171094,ALK,ALK,2,29192774,29921586
ENSG00000168702,LRP1B,LRP1B,2,140231423,142131016
ENSG00000066032,CTNNA2,CTNNA2,2,79185231,80648861
ENSG00000099956,SMARCB1,SMARCB1,22,23786931,23838009
ENSG00000138115,CYP2C8,CYP2C8,10,95034359,95069498
ENSG00000156052,GNAQ,GNAQ,9,77716097,78031972
ENSG00000087088,BAX,BAX,19,48954815,48961798
ENSG00000083857,FAT1,FAT1,4,186587791,186726722
ENSG00000109685,NSD2,NSD2,4,1870559,1982207
ENSG00000165323,FAT3,FAT3,11,92224818,92896473
ENSG00000128052,KDR,KDR,4,55078476,55125595
ENSG00000140836,ZFHX3,ZFHX3,16,72782885,73891871
ENSG00000157613,CREB3L1,CREB3L1,11,46277637,46321422
ENSG00000185008,ROBO2,ROBO2,3,75906695,77649964
ENSG00000157404,KIT,KIT,4,54657267,54740783
ENSG00000138336,TET1,TET1,10,68560310,68694586
ENSG00000066468,FGFR2,FGFR2,10,121478332,121598458
ENSG00000129993,CBFA2T3,CBFA2T3,16,88874858,88977207
ENSG00000186575,NF2,NF2,22,29603546,29698598
ENSG00000144554,FANCD2,FANCD2,3,10026370,10101937
ENSG00000131023,LATS1,LATS1,6,149658153,149718105
ENSG00000182944,EWSR1,EWSR1,22,29268009,29300530
ENSG00000183454,GRIN2A,GRIN2A,16,9753404,10183337
ENSG00000051341,POLQ,POLQ,3,121431426,121546002
ENSG00000172409,CLP1,CLP1,11,57648188,57661865
ENSG00000175054,ATR,ATR,3,142449007,142578781
ENSG00000116016,EPAS1,EPAS1,2,46293667,46386697
ENSG00000070756,PABPC1,PABPC1,8,100685816,100722809
ENSG00000163513,TGFBR2,TGFBR2,3,30606478,30694249
ENSG00000170759,KIF5B,KIF5B,10,32009014,32056454
ENSG00000182158,CREB3L2,CREB3L2,7,137874979,138002086
ENSG00000125618,PAX8,PAX8,2,113215997,113278921
ENSG00000117713,ARID1A,ARID1A,1,26693236,26782104
ENSG00000140538,NTRK3,NTRK3,15,87859751,88256993
ENSG00000100311,PDGFB,PDGFB,22,39223359,39244982
ENSG00000138592,USP8,USP8,15,50424372,50514421
ENSG00000147862,NFIB,NFIB,9,14081843,14398983
ENSG00000066279,ASPM,ASPM,1,197084121,197146694
ENSG00000107485,GATA3,GATA3,10,8045315,8075198
ENSG00000139083,ETV6,ETV6,12,11649623,11895386
ENSG00000089280,FUS,FUS,16,31180134,31196963
ENSG00000122778,KIAA1549,KIAA1549,7,138831381,138982084
ENSG00000123268,ATF1,ATF1,12,50763710,50821162
ENSG00000164398,ACSL6,ACSL6,5,131949973,132012243
ENSG00000134250,NOTCH2,NOTCH2,1,119911553,120100779
ENSG00000213281,NRAS,NRAS,1,114704469,114716771
ENSG00000198793,MTOR,MTOR,1,11106531,11262556
ENSG00000181163,NPM1,NPM1,5,171387086,171411810
ENSG00000076685,NT5C2,NT5C2,10,103087141,103277605
ENSG00000057657,PRDM1,PRDM1,6,105993463,106109939
ENSG00000189079,ARID2,ARID2,12,45728910,45908040
ENSG00000111642,CHD4,CHD4,12,6570081,6614982
ENSG00000051382,PIK3CB,PIK3CB,3,138652336,138834957
ENSG00000121879,PIK3CA,PIK3CA,3,179148114,179240093
ENSG00000197013,ZNF429,ZNF429,19,21496682,21556270
ENSG00000151702,FLI1,FLI1,11,128686535,128813267
ENSG00000108821,COL1A1,COL1A1,17,50184101,50201634
ENSG00000118007,STAG1,STAG1,3,136336234,136752432
ENSG00000149311,ATM,ATM,11,108222804,108369102
ENSG00000119772,DNMT3A,DNMT3A,2,25227855,25342590
ENSG00000198400,NTRK1,NTRK1,1,156815636,156881850
ENSG00000162613,FUBP1,FUBP1,1,77944055,77979527
ENSG00000081237,PTPRC,PTPRC,1,198629900,198759346
