#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABL1	GNA11	9606.ENSP00000361423	9606.ENSP00000078429	0	0	0	0	0.119	0	0	0.484	0.526
ABL1	CCND1	9606.ENSP00000361423	9606.ENSP00000227507	0	0	0	0	0.067	0	0.400	0.577	0.742
ABL1	MLH1	9606.ENSP00000361423	9606.ENSP00000231790	0	0	0	0	0.042	0	0	0.480	0.481
ABL1	FLT3	9606.ENSP00000361423	9606.ENSP00000241453	0	0	0	0.600	0.095	0.215	0	0.346	0.495
ABL1	PLCG1	9606.ENSP00000361423	9606.ENSP00000244007	0	0	0	0.548	0.091	0.361	0	0.176	0.479
ABL1	KRAS	9606.ENSP00000361423	9606.ENSP00000256078	0	0	0	0	0.074	0.110	0	0.669	0.703
ABL1	CDK4	9606.ENSP00000361423	9606.ENSP00000257904	0	0	0	0.607	0.097	0.098	0.400	0.511	0.729
ABL1	MDM2	9606.ENSP00000361423	9606.ENSP00000258149	0	0	0	0	0	0.628	0	0.732	0.896
ABL1	CDH1	9606.ENSP00000361423	9606.ENSP00000261769	0	0	0	0	0	0.067	0	0.418	0.433
ABL1	PDGFRB	9606.ENSP00000361423	9606.ENSP00000261799	0	0	0	0.581	0.093	0.316	0	0.376	0.580
ABL1	CREBBP	9606.ENSP00000361423	9606.ENSP00000262367	0	0	0	0	0.304	0.047	0	0.415	0.578
ABL1	EP300	9606.ENSP00000361423	9606.ENSP00000263253	0	0	0	0	0.304	0.230	0	0.438	0.673
ABL1	PIK3CA	9606.ENSP00000361423	9606.ENSP00000263967	0	0	0	0	0.049	0.069	0	0.754	0.763
ABL1	SHC2	9606.ENSP00000361423	9606.ENSP00000264554	0	0	0	0.554	0.042	0.073	0.900	0.086	0.908
ABL1	STAT3	9606.ENSP00000361423	9606.ENSP00000264657	0	0	0	0	0.121	0.096	0	0.611	0.664
ABL1	DNMT3A	9606.ENSP00000361423	9606.ENSP00000264709	0	0	0	0	0.069	0.058	0	0.571	0.591
ABL1	EGF	9606.ENSP00000361423	9606.ENSP00000265171	0	0	0	0	0	0.053	0	0.511	0.517
ABL1	ERBB3	9606.ENSP00000361423	9606.ENSP00000267101	0	0	0	0.580	0	0.400	0	0.395	0.621
ABL1	TP53	9606.ENSP00000361423	9606.ENSP00000269305	0	0	0	0	0.056	0.292	0	0.875	0.909
ABL1	ERBB2	9606.ENSP00000361423	9606.ENSP00000269571	0	0	0	0.591	0.049	0.615	0	0.325	0.731
ABL1	EGFR	9606.ENSP00000361423	9606.ENSP00000275493	0	0	0	0.591	0.067	0.790	0	0.347	0.861
ABL1	ATM	9606.ENSP00000361423	9606.ENSP00000278616	0	0	0	0	0	0.820	0.750	0.774	0.988
ABL1	MYCN	9606.ENSP00000361423	9606.ENSP00000281043	0	0	0	0	0	0.060	0	0.420	0.431
ABL1	GNAQ	9606.ENSP00000361423	9606.ENSP00000286548	0	0	0	0	0.067	0	0	0.437	0.453
ABL1	KIT	9606.ENSP00000361423	9606.ENSP00000288135	0	0	0	0.598	0.056	0.181	0	0.601	0.664
ABL1	U2AF1	9606.ENSP00000361423	9606.ENSP00000291552	0	0	0	0	0	0	0	0.478	0.478
ABL1	STAT5B	9606.ENSP00000361423	9606.ENSP00000293328	0	0	0	0	0.065	0.439	0.900	0.727	0.983
ABL1	NPM1	9606.ENSP00000361423	9606.ENSP00000296930	0	0	0	0	0.064	0	0	0.697	0.704
ABL1	RUNX1	9606.ENSP00000361423	9606.ENSP00000300305	0	0	0	0	0.042	0	0.400	0.793	0.871
ABL1	IRS1	9606.ENSP00000361423	9606.ENSP00000304895	0	0	0	0	0.059	0.098	0	0.530	0.566
ABL1	TERT	9606.ENSP00000361423	9606.ENSP00000309572	0	0	0	0	0	0.049	0	0.599	0.603
ABL1	CD34	9606.ENSP00000361423	9606.ENSP00000310036	0	0	0	0	0.110	0	0	0.767	0.783
ABL1	EZH2	9606.ENSP00000361423	9606.ENSP00000320147	0	0	0	0	0.043	0.077	0	0.590	0.606
ABL1	EML4	9606.ENSP00000361423	9606.ENSP00000320663	0	0	0	0	0.074	0.067	0	0.601	0.626
ABL1	SHC4	9606.ENSP00000361423	9606.ENSP00000329668	0	0	0	0.553	0	0.073	0.900	0.059	0.905
ABL1	IDH2	9606.ENSP00000361423	9606.ENSP00000331897	0	0	0	0	0.044	0	0	0.593	0.594
ABL1	SMARCB1	9606.ENSP00000361423	9606.ENSP00000340883	0	0	0	0	0.063	0.046	0	0.511	0.525
ABL1	SMAD4	9606.ENSP00000361423	9606.ENSP00000341551	0	0	0	0	0.093	0.091	0	0.460	0.516
ABL1	ERBB4	9606.ENSP00000361423	9606.ENSP00000342235	0	0	0	0.596	0	0.400	0	0.500	0.687
ABL1	ATR	9606.ENSP00000361423	9606.ENSP00000343741	0	0	0	0	0	0.317	0	0.310	0.509
ABL1	CRKL	9606.ENSP00000361423	9606.ENSP00000346300	0	0	0	0.597	0.049	0.887	0.900	0.855	0.998
ABL1	NF1	9606.ENSP00000361423	9606.ENSP00000351015	0	0	0	0	0	0.092	0	0.520	0.545
ABL1	NTRK3	9606.ENSP00000361423	9606.ENSP00000354207	0	0	0	0.629	0	0	0.900	0.192	0.915
ABL1	MTOR	9606.ENSP00000361423	9606.ENSP00000354558	0	0	0	0	0.067	0.315	0	0.557	0.692
ABL1	PARP1	9606.ENSP00000361423	9606.ENSP00000355759	0	0	0	0	0.047	0.292	0	0.713	0.789
ABL1	NRAS	9606.ENSP00000361423	9606.ENSP00000358548	0	0	0	0	0.081	0.110	0	0.667	0.704
ABL1	PTEN	9606.ENSP00000361423	9606.ENSP00000361021	0	0	0	0	0.048	0.092	0	0.627	0.650
ABL1	PIK3CD	9606.ENSP00000361423	9606.ENSP00000366563	0	0	0	0	0	0.069	0	0.385	0.403
ABL1	AKT1	9606.ENSP00000361423	9606.ENSP00000451828	0	0	0	0.577	0.102	0	0	0.369	0.409
ABL1	HDAC1	9606.ENSP00000361423	9606.ENSP00000362649	0	0	0	0	0.042	0.068	0	0.398	0.415
ABL1	CD274	9606.ENSP00000361423	9606.ENSP00000370989	0	0	0	0	0.063	0	0	0.419	0.432
ABL1	JAK1	9606.ENSP00000361423	9606.ENSP00000499900	0	0	0	0.574	0.064	0.292	0	0.280	0.482
ABL1	AR	9606.ENSP00000361423	9606.ENSP00000363822	0	0	0	0	0.042	0.178	0	0.428	0.511
ABL1	BRCA2	9606.ENSP00000361423	9606.ENSP00000369497	0	0	0	0	0	0.137	0	0.460	0.514
ABL1	CTNNA2	9606.ENSP00000361423	9606.ENSP00000384638	0	0	0	0	0	0	0.500	0.069	0.515
ABL1	EWSR1	9606.ENSP00000361423	9606.ENSP00000400142	0	0	0	0	0.048	0.164	0	0.449	0.523
ABL1	IGF1R	9606.ENSP00000361423	9606.ENSP00000497069	0	0	0	0.604	0.049	0	0	0.522	0.525
ABL1	ESR1	9606.ENSP00000361423	9606.ENSP00000405330	0	0	0	0	0	0.071	0	0.528	0.543
ABL1	PTPRC	9606.ENSP00000361423	9606.ENSP00000411355	0	0	0	0	0.067	0.097	0	0.533	0.573
ABL1	PTPN11	9606.ENSP00000361423	9606.ENSP00000489597	0	0	0	0.556	0.063	0.097	0	0.568	0.603
ABL1	TET2	9606.ENSP00000361423	9606.ENSP00000442788	0	0	0	0	0	0	0	0.604	0.604
ABL1	WT1	9606.ENSP00000361423	9606.ENSP00000368370	0	0	0	0	0.044	0.071	0	0.598	0.611
ABL1	IDH1	9606.ENSP00000361423	9606.ENSP00000390265	0	0	0	0	0	0	0	0.614	0.614
ABL1	NOTCH1	9606.ENSP00000361423	9606.ENSP00000498587	0	0	0	0	0.080	0.113	0	0.596	0.641
ABL1	ASXL1	9606.ENSP00000361423	9606.ENSP00000364839	0	0	0	0	0.081	0.098	0	0.643	0.678
ABL1	SRC	9606.ENSP00000361423	9606.ENSP00000362680	0	0	0.078	0.877	0.107	0.591	0	0.161	0.680
ABL1	KMT2A	9606.ENSP00000361423	9606.ENSP00000436786	0	0	0	0	0.050	0.077	0	0.668	0.684
ABL1	CBFB	9606.ENSP00000361423	9606.ENSP00000415151	0	0	0	0	0.042	0	0.400	0.507	0.691
ABL1	FBXW7	9606.ENSP00000361423	9606.ENSP00000474725	0	0	0	0	0	0.091	0	0.703	0.718
ABL1	SOS1	9606.ENSP00000361423	9606.ENSP00000384675	0	0	0	0	0.060	0.323	0	0.631	0.745
ABL1	CDKN2A	9606.ENSP00000361423	9606.ENSP00000418915	0	0	0	0	0	0.095	0	0.749	0.763
ABL1	HRAS	9606.ENSP00000361423	9606.ENSP00000407586	0	0	0	0	0.081	0.110	0	0.755	0.782
ABL1	MYC	9606.ENSP00000361423	9606.ENSP00000478887	0	0	0	0	0.087	0.045	0	0.774	0.785
ABL1	PIK3R1	9606.ENSP00000361423	9606.ENSP00000428056	0	0	0	0.551	0.062	0.793	0	0.203	0.832
ABL1	SHC3	9606.ENSP00000361423	9606.ENSP00000364995	0	0	0	0	0	0.073	0.900	0.133	0.912
ABL1	ROBO2	9606.ENSP00000361423	9606.ENSP00000417335	0	0	0	0	0.080	0.167	0.900	0.145	0.925
ABL1	ETV6	9606.ENSP00000361423	9606.ENSP00000379658	0	0	0	0	0.044	0.074	0	0.930	0.932
ABL1	CTNNB1	9606.ENSP00000361423	9606.ENSP00000495360	0	0	0	0	0.095	0.539	0.500	0.785	0.949
ABL1	BRCA1	9606.ENSP00000361423	9606.ENSP00000418960	0	0	0	0	0	0.483	0.500	0.847	0.956
ABL1	NTRK1	9606.ENSP00000361423	9606.ENSP00000431418	0	0	0	0.642	0	0.510	0.900	0.212	0.958
ABL1	SHC1	9606.ENSP00000361423	9606.ENSP00000401303	0	0	0	0.555	0.141	0.610	0.900	0.776	0.991
ABL1	GRB2	9606.ENSP00000361423	9606.ENSP00000376345	0	0	0	0.748	0.083	0.846	0.900	0.973	0.999
ACSL6	NTRK3	9606.ENSP00000498260	9606.ENSP00000354207	0	0	0	0	0.122	0.050	0	0.418	0.472
ACSL6	ETV6	9606.ENSP00000498260	9606.ENSP00000379658	0	0	0	0	0	0	0	0.706	0.706
AKT1	GNA11	9606.ENSP00000451828	9606.ENSP00000078429	0	0	0	0	0.099	0	0	0.528	0.556
AKT1	PIK3R2	9606.ENSP00000451828	9606.ENSP00000222254	0	0	0	0	0.128	0.093	0.900	0.677	0.971
AKT1	COL1A1	9606.ENSP00000451828	9606.ENSP00000225964	0	0	0	0	0	0.084	0	0.683	0.697
AKT1	CCND1	9606.ENSP00000451828	9606.ENSP00000227507	0	0	0	0	0.088	0	0	0.919	0.923
AKT1	MLH1	9606.ENSP00000451828	9606.ENSP00000231790	0	0	0	0	0.047	0	0	0.492	0.495
AKT1	FLT3	9606.ENSP00000451828	9606.ENSP00000241453	0	0	0	0	0.056	0.074	0	0.664	0.680
AKT1	PLCG1	9606.ENSP00000451828	9606.ENSP00000244007	0	0	0	0	0.062	0.292	0	0.707	0.788
AKT1	FUS	9606.ENSP00000451828	9606.ENSP00000254108	0	0	0	0	0.049	0.292	0	0.584	0.695
AKT1	KRAS	9606.ENSP00000451828	9606.ENSP00000256078	0	0	0	0	0.076	0.110	0	0.893	0.904
AKT1	NOTCH2	9606.ENSP00000451828	9606.ENSP00000256646	0	0	0	0	0.125	0.098	0	0.521	0.589
AKT1	PDGFRA	9606.ENSP00000451828	9606.ENSP00000257290	0	0	0	0.560	0.056	0.205	0	0.370	0.486
AKT1	CDK4	9606.ENSP00000451828	9606.ENSP00000257904	0	0	0.112	0.601	0.068	0.231	0	0.572	0.691
AKT1	MDM2	9606.ENSP00000451828	9606.ENSP00000258149	0	0	0	0	0	0.891	0.900	0.980	0.999
