Gene stable ID	Gene name
ENSG00000292348	CD99
ENSG00000284792	PTEN
ENSG00000172915	NBEA
ENSG00000139618	BRCA2
ENSG00000276536	HRAS
ENSG00000291971	SRC
ENSG00000187323	DCC
ENSG00000159216	RUNX1
ENSG00000160201	U2AF1
ENSG00000122025	FLT3
ENSG00000198354	DCAF12L2
ENSG00000085224	ATRX
ENSG00000185634	SHC4
ENSG00000085185	BCORL1
ENSG00000140443	IGF1R
ENSG00000164796	CSMD3
ENSG00000262418	PTPRC
ENSG00000088256	GNA11
ENSG00000196159	FAT4
ENSG00000275837	SMARCB1
ENSG00000099942	CRKL
ENSG00000147889	CDKN2A
ENSG00000120217	CD274
ENSG00000148082	SHC3
ENSG00000100393	EP300
ENSG00000099949	LZTR1
ENSG00000171310	CHST11
ENSG00000136997	MYC
ENSG00000171456	ASXL1
ENSG00000169083	AR
ENSG00000105639	JAK3
ENSG00000234012	MDC1
ENSG00000171862	PTEN
ENSG00000124181	PLCG1
ENSG00000171094	ALK
ENSG00000225589	MDC1
ENSG00000167548	KMT2D
ENSG00000168702	LRP1B
ENSG00000188486	H2AX
ENSG00000224587	MDC1
ENSG00000066032	CTNNA2
ENSG00000099956	SMARCB1
ENSG00000231135	MDC1
ENSG00000141380	SS18
ENSG00000138115	CYP2C8
ENSG00000181449	SOX2
ENSG00000109458	GAB1
ENSG00000184260	H2AC20
ENSG00000156052	GNAQ
ENSG00000184937	WT1
ENSG00000237095	MDC1
ENSG00000087088	BAX
ENSG00000228575	MDC1
ENSG00000148400	NOTCH1
ENSG00000178568	ERBB4
ENSG00000083857	FAT1
ENSG00000101972	STAG2
ENSG00000097007	ABL1
ENSG00000109685	NSD2
ENSG00000165323	FAT3
ENSG00000206481	MDC1
ENSG00000128052	KDR
ENSG00000005339	CREBBP
ENSG00000055609	KMT2C
ENSG00000140836	ZFHX3
ENSG00000157613	CREB3L1
ENSG00000185008	ROBO2
ENSG00000157404	KIT
ENSG00000197122	SRC
ENSG00000138336	TET1
ENSG00000109670	FBXW7
ENSG00000164362	TERT
ENSG00000165731	RET
ENSG00000066468	FGFR2
ENSG00000129993	CBFA2T3
ENSG00000141646	SMAD4
ENSG00000017427	IGF1
ENSG00000162344	FGF19
ENSG00000186575	NF2
ENSG00000110092	CCND1
ENSG00000144554	FANCD2
ENSG00000131023	LATS1
ENSG00000182944	EWSR1
ENSG00000183454	GRIN2A
ENSG00000135446	CDK4
ENSG00000118058	KMT2A
ENSG00000051341	POLQ
ENSG00000172409	CLP1
ENSG00000065361	ERBB3
ENSG00000154188	ANGPT1
ENSG00000175054	ATR
ENSG00000049618	ARID1B
ENSG00000137337	MDC1
ENSG00000116016	EPAS1
ENSG00000225950	NTF4
ENSG00000174775	HRAS
ENSG00000002586	CD99
ENSG00000070756	PABPC1
ENSG00000163513	TGFBR2
ENSG00000133703	KRAS
ENSG00000170759	KIF5B
ENSG00000182054	IDH2
ENSG00000146648	EGFR
ENSG00000182158	CREB3L2
ENSG00000125618	PAX8
ENSG00000196712	NF1
ENSG00000117713	ARID1A
ENSG00000129946	SHC2
ENSG00000115904	SOS1
ENSG00000039068	CDH1
ENSG00000140538	NTRK3
ENSG00000100311	PDGFB
ENSG00000169047	IRS1
ENSG00000091831	ESR1
ENSG00000168769	TET2
ENSG00000138592	USP8
ENSG00000113721	PDGFRB
ENSG00000134323	MYCN
ENSG00000147862	NFIB
ENSG00000106462	EZH2
ENSG00000142208	AKT1
ENSG00000157764	BRAF
ENSG00000077782	FGFR1
ENSG00000138798	EGF
ENSG00000066279	ASPM
ENSG00000196591	HDAC2
ENSG00000096968	JAK2
ENSG00000166225	FRS2
ENSG00000197943	PLCG2
ENSG00000107485	GATA3
ENSG00000139083	ETV6
ENSG00000076242	MLH1
ENSG00000089280	FUS
ENSG00000122778	KIAA1549
ENSG00000068078	FGFR3
ENSG00000123268	ATF1
ENSG00000164398	ACSL6
ENSG00000134853	PDGFRA
ENSG00000134250	NOTCH2
ENSG00000168610	STAT3
ENSG00000145675	PIK3R1
ENSG00000135679	MDM2
ENSG00000213281	NRAS
ENSG00000012048	BRCA1
ENSG00000198793	MTOR
ENSG00000181163	NPM1
ENSG00000076685	NT5C2
ENSG00000067955	CBFB
ENSG00000057657	PRDM1
ENSG00000189079	ARID2
ENSG00000141510	TP53
ENSG00000111642	CHD4
ENSG00000105647	PIK3R2
ENSG00000173757	STAT5B
ENSG00000051382	PIK3CB
ENSG00000121879	PIK3CA
ENSG00000170962	PDGFD
ENSG00000197461	PDGFA
ENSG00000197013	ZNF429
ENSG00000116478	HDAC1
ENSG00000127616	SMARCA4
ENSG00000102882	MAPK3
ENSG00000151702	FLI1
ENSG00000141736	ERBB2
ENSG00000154229	PRKCA
ENSG00000179295	PTPN11
ENSG00000163939	PBRM1
ENSG00000108821	COL1A1
ENSG00000168036	CTNNB1
ENSG00000118007	STAG1
ENSG00000149311	ATM
ENSG00000177885	GRB2
ENSG00000119772	DNMT3A
ENSG00000160691	SHC1
ENSG00000117461	PIK3R3
ENSG00000138413	IDH1
ENSG00000198400	NTRK1
ENSG00000143924	EML4
ENSG00000162613	FUBP1
ENSG00000171608	PIK3CD
ENSG00000143799	PARP1
ENSG00000174059	CD34
ENSG00000081237	PTPRC
ENSG00000162434	JAK1
