hgnc_symbol,Chromosome_scaffold,transcript_count,avg_exon_count,min_exon_count,max_exon_count,logFC,adj_p_value
EWSR1,22,52,15.7885,8,18,0.025066,0.749
ROBO2,3,41,27.8293,26,30,-0.883501,0.000000348
NTRK3,15,34,14.8824,9,20,-1.037991,0.0000299
NFIB,9,33,9.5455,3,12,0.425307,0.0271
FUBP1,1,31,21.7419,20,23,0.232925,0.083
ATF1,12,29,6.7931,5,8,0.212121,0.0818
NF2,22,26,15.1923,5,18,-0.052652,0.815
GATA3,10,25,6.5600,4,8,-0.502371,0.0000439
ACSL6,5,25,20.9600,20,22,-0.363645,0.0141
FGFR2,10,23,16.9130,15,18,-1.691824,0.0000000281
DNMT3A,2,22,18.5909,4,24,-0.029933,0.723
BCORL1,X,20,14.2500,13,17,0.033985,0.738
TET1,10,19,10.3684,6,13,0.195929,0.288
ATM,11,18,53.0556,4,64,0.932191,0.00000171
LATS1,6,18,7.8889,4,10,0.578063,0.0000555
TGFBR2,3,16,7.5000,5,9,0.801954,0.000000955
NBEA,13,15,51.7333,18,60,0.912615,0.0000376
CTNNA2,2,15,17.2000,11,22,-0.500885,0.00478
ZNF429,19,14,3.6429,2,5,0.64247,0.000136
PIK3CB,3,14,22.5714,13,25,0.489253,0.00787
PTPRC,1,13,21.0000,3,33,0.877446,0.00195
FAT3,11,12,21.4000,1,30,-0.79581,0.0000376
ZFHX3,16,11,9.6364,4,17,0.733982,0.000000666
CDKN2A,9,10,3.1000,3,4,1.032292,0.000000825
CSMD3,8,10,67.0000,45,72,-0.553546,0.00000037
PRDM1,6,9,6.1111,4,8,1.188297,0.000000971
FLI1,11,9,8.7778,7,10,0.533084,0.00703
ATR,3,9,43.0000,34,47,0.506637,0.00078
KIT,4,8,21.0000,21,21,-0.928573,0.000000638
STAG1,3,8,29.3750,22,34,0.728661,0.0000738
MTOR,1,8,51.2500,34,58,0.61701,0.00011
NPM1,5,8,9.8750,7,12,-0.098135,0.19
GRIN2A,16,7,13.2857,12,14,-0.174064,0.471
FUS,16,7,14.1429,10,15,0.124561,0.236
CREB3L1,11,6,11.6667,10,12,-1.282812,0.0000000572
CBFA2T3,16,6,11.3333,11,12,-0.387451,0.0000715
FANCD2,3,6,37.6667,10,44,-0.215294,0.21
AR,X,5,5.6000,3,9,-1.078783,0.0000000000000409
DCC,18,5,28.4000,26,29,-0.598345,0.000123
PDGFB,22,4,7.0000,7,7,1.47935,0.000000000818
LRP1B,2,4,80.2500,62,91,-0.975397,0.000000396
FAT1,4,4,27.5000,27,28,0.653227,0.00155
PAX8,2,4,10.7500,9,12,-0.468158,0.000212
CYP2C8,10,4,9.0000,8,10,-0.439821,0.00161
CHST11,12,4,2.5000,2,3,0.265488,0.0697
SMARCB1,22,4,9.0000,9,9,0.17771,0.271
COL1A1,17,4,46.5000,38,51,-0.018152,0.959
USP8,15,3,19.0000,17,20,0.891278,0.0000449
CREB3L2,7,3,9.3333,4,12,0.794316,0.00000398
GNAQ,9,3,7.0000,7,7,0.790597,0.0000324
