"Entry","Length","logFC","name","regulation","selected","shared name"
"Q9UKU0","697","-0.363645","ACSL6","Down","false","ACSL6"
"Q16288","839","-1.037991","NTRK3","Down","false","NTRK3"
"P10275","920","-1.078783","AR","Down","false","AR"
"P42336","1068","0.69154","PIK3CA","Up","false","PIK3CA"
"Q13315","3056","0.932191","ATM","Up","false","ATM"
"P10721","976","-0.928573","KIT","Down","false","KIT"
"O14497","2285","0.424134","ARID1A","Up","false","ARID1A"
"P42345","2549","0.61701","MTOR","Up","false","MTOR"
"P23771","443","-0.502371","GATA3","Down","false","GATA3"
"Q8N726","132","1.032292","CDKN2A","Up","false","CDKN2A"
"Q06710","450","-0.468158","PAX8","Down","false","PAX8"
"Q7Z407","3707","-0.553546","CSMD3","Down","false","CSMD3"
"Q8TDW7","4557","-0.79581","FAT3","Down","false","FAT3"
"P37173","567","0.801954","TGFBR2","Up","false","TGFBR2"
"Q14517","4588","0.653227","FAT1","Up","false","FAT1"
"Q9NZR2","4599","-0.975397","LRP1B","Down","false","LRP1B"
"P21802","821","-1.691824","FGFR2","Down","false","FGFR2"
"P01111","189","0.433639","NRAS","Up","false","NRAS"
"Q14839","1912","0.432786","CHD4","Up","false","CHD4"
"Q68CP9","1835","0.499319","ARID2","Up","false","ARID2"
"P50148","359","0.790597","GNAQ","Up","false","GNAQ"
"P08575","1306","0.877446","PTPRC","Up","false","PTPRC"
"Q15911","3703","0.733982","ZFHX3","Up","false","ZFHX3"
"Q13535","2644","0.506637","ATR","Up","false","ATR"
"Q8WVM7","1258","0.728661","STAG1","Up","false","STAG1"
"Q99814","870","0.710013","EPAS1","Up","false","EPAS1"
"P01127","241","1.47935","PDGFB","Up","false","PDGFB"
"Q9HCM3","1950","-0.22888","KIAA1549","Down","false","KIAA1549"
"P42338","1070","0.489253","PIK3CB","Up","false","PIK3CB"
"P11940","636","0.291774","PABPC1","Up","false","PABPC1"
"Q96BA8","519","-1.282812","CREB3L1","Down","false","CREB3L1"
"Q70SY1","520","0.794316","CREB3L2","Up","false","CREB3L2"
"Q9HCK4","1378","-0.883501","ROBO2","Down","false","ROBO2"
"P26232","953","-0.500885","CTNNA2","Down","false","CTNNA2"
"P43146","1447","-0.598345","DCC","Down","false","DCC"
"O95835","1130","0.578063","LATS1","Up","false","LATS1"
"Q01543","452","0.533084","FLI1","Up","false","FLI1"
"O75626","825","1.188297","PRDM1","Up","false","PRDM1"
"O00712","420","0.425307","NFIB","Up","false","NFIB"
"Q8N653","840","0.645798","LZTR1","Up","false","LZTR1"
