#name	chrom	strand	txStart	txEnd	exonCount	exonStarts	exonEnds	score	name2
XR_007064838.1	chr1	-	77944054	77979072	23	77944054,77945505,77946529,77949154,77955254,77956571,77960183,77960343,77962769,77963573,77964061,77964253,77964645,77964869,77965068,77966693,77966883,77967048,77967626,77968164,77969021,77969924,77978884,	77944269,77945642,77946576,77949300,77955329,77956700,77960263,77960495,77962930,77963715,77964162,77964356,77964747,77964968,77965231,77966751,77966955,77967098,77967666,77968203,77969084,77970015,77979072,	0	FUBP1
XR_007064840.1	chr1	-	77944054	77979501	23	77944054,77945505,77946529,77949154,77955254,77956571,77960183,77960343,77962769,77963573,77964061,77964253,77964645,77964869,77965068,77966693,77966883,77967048,77967626,77968164,77969924,77978884,77979396,	77944269,77945642,77946576,77949300,77955329,77956700,77960263,77960495,77962930,77963715,77964162,77964356,77964747,77964968,77965231,77966751,77966955,77967098,77967666,77968203,77970015,77979059,77979501,	0	FUBP1
XR_007064839.1	chr1	-	77944054	77979501	23	77944054,77945505,77946529,77949154,77955254,77956571,77960183,77960343,77962769,77963573,77964061,77964253,77964645,77964869,77965068,77966693,77966883,77967048,77967626,77968164,77969924,77978884,77979396,	77944269,77945642,77946576,77949300,77955329,77956700,77960263,77960495,77962930,77963715,77964162,77964356,77964747,77964968,77965231,77966751,77966955,77967101,77967666,77968203,77970015,77979059,77979501,	0	FUBP1
XR_007064841.1	chr1	-	77944054	77979072	22	77944054,77945505,77949154,77955254,77956571,77960183,77960343,77962769,77963573,77964061,77964253,77964645,77964869,77965068,77966693,77966883,77967048,77967626,77968164,77969021,77969924,77978884,	77944269,77948774,77949300,77955329,77956700,77960263,77960495,77962930,77963715,77964162,77964356,77964747,77964968,77965231,77966751,77966955,77967101,77967666,77968203,77969084,77970015,77979072,	0	FUBP1
XR_007064842.1	chr1	-	77944054	77979072	22	77944054,77945505,77949154,77955254,77956571,77960183,77960343,77962769,77963573,77964061,77964253,77964645,77964869,77965068,77966693,77966883,77967048,77967626,77968164,77969021,77969924,77978884,	77944269,77948774,77949300,77955329,77956700,77960263,77960495,77962930,77963715,77964162,77964356,77964747,77964968,77965231,77966751,77966955,77967098,77967666,77968203,77969084,77970015,77979072,	0	FUBP1
XR_007064843.1	chr1	-	77944054	77979072	21	77944054,77945505,77949154,77955254,77956571,77960183,77960343,77962769,77963573,77964061,77964253,77964645,77964869,77965068,77966693,77966883,77967048,77967626,77968164,77969924,77978884,	77944269,77948774,77949300,77955329,77956700,77960263,77960495,77962930,77963715,77964162,77964356,77964747,77964968,77965231,77966751,77966955,77967101,77967666,77968203,77970015,77979072,	0	FUBP1
XR_007064844.1	chr1	-	77944054	77979072	21	77944054,77945505,77949154,77955254,77956571,77960183,77960343,77962769,77963573,77964061,77964253,77964645,77964869,77965068,77966693,77966883,77967048,77967626,77968164,77969924,77978884,	77944269,77948774,77949300,77955329,77956700,77960263,77960495,77962930,77963715,77964162,77964356,77964747,77964968,77965231,77966751,77966955,77967098,77967666,77968203,77970015,77979072,	0	FUBP1
XM_047422550.1	chr1	+	9687632	9729114	24	9687632,9691466,9710423,9715540,9715848,9716439,9716958,9717536,9718693,9719920,9720111,9720610,9720741,9721126,9721443,9721760,9721974,9722243,9722527,9723124,9723968,9724275,9724803,9726908,	9688313,9691571,9710596,9715769,9716078,9716619,9717108,9717626,9718915,9720017,9720242,9720661,9720909,9721248,9721587,9721860,9722153,9722356,9722606,9723292,9724092,9724421,9724936,9729114,	0	PIK3CD
XM_047422551.1	chr1	+	9629972	9729114	24	9629972,9691466,9710423,9715540,9715848,9716439,9716958,9717536,9718693,9719920,9720111,9720610,9720741,9721126,9721443,9721760,9721974,9722243,9722527,9723124,9723968,9724275,9724803,9726908,	9630224,9691571,9710596,9715769,9716078,9716619,9717108,9717626,9718915,9720017,9720242,9720661,9720909,9721248,9721587,9721860,9722153,9722356,9722606,9723292,9724092,9724421,9724936,9729114,	0	PIK3CD
XM_047422552.1	chr1	+	9651730	9729114	25	9651730,9664595,9691466,9710423,9715540,9715848,9716439,9716958,9717536,9718693,9719920,9720111,9720610,9720741,9721126,9721443,9721760,9721974,9722243,9722527,9723124,9723968,9724275,9724803,9726908,	9651802,9664758,9691571,9710596,9715769,9716078,9716619,9717108,9717626,9718915,9720017,9720242,9720661,9720909,9721248,9721587,9721860,9722153,9722356,9722606,9723292,9724092,9724421,9724936,9729114,	0	PIK3CD
